,Lapwing_ID,Test_Number,Urban,TimeStandingSec,area_explored,dummy enter,Head bob,Pose-fly,Puff,Scream,scrining,Shaking head,Tail wingle,Fly_Sequences,Mean_Time_Fly_sec,Total_Time_Fly_sec,SD_Time_Fly_sec,WalkingMeters,PercentageInCameraView,Date,Time,Trial_order,Weight,Year,Sex,Nest_X,Nest_Y,Initial_weight,TimeInCenter,TimeInPeri,TotalLocationsVisited,NumberOfHighExploration,NumberOfMedianExploration,NumberOfLowExploration,MinDisplacementDummy,Experiment,Head.BobBi1,PoseflyBi0,PuffBi0,ScreamBi2,scriningBi0,ShakingheadBi0,Tail.wingleBi1,Fly_Sequencessqrt,Total_Time_Fly_secSqrt,NumStopsLocations,TotalTimeStoped,MinDisplacementDummyBi120,LogWalkingMeters,ShowCameraBi50,TimeInCenter1,TimeInPeri98,NumberOfHighExploration0,MedianDisplacementCoresqrt,Months,WeightLoss,PC1_Stress,PC2_Tolerance,Initial SMI,Urban250,Experimental SMI
103,33665,2,23.72,74.37,37.18,1,1,1,0,2,0,0,1,7,4,28.01,0.96,19.79,92,05/08/2020,9:28:00,2,176,2020,Female,31.78631,34.672921,182,17.3,82.7,58,0,0,58,80.04,CST,0,1,0,0,0,0,0,2.645751311,5.292447449,102,24,0,2.98517676,1,1,0,0,17.25398505,8,-3.296703297,-1.27004015,0.955385493,174.4930024,14.4,170.9340941
104,33665,3,23.72,63.97,35.26,1,0,0,0,2,0,0,0,8,3.07,24.59,0.49,21.45,85,12/08/2020,9:08:00,1,179,2020,Female,31.78631,34.672921,182,5.7,94.3,55,0,2,53,64.65,CST,0,0,0,0,0,0,0,2.828427125,4.958830507,91,22,0,3.065724645,1,1,0,0,17.45623098,8,-1.648351648,-1.442763289,0.564694937,174.4930024,14.4,173.8477434
105,33858,1,26,42.97,35.9,1,0,0,0,69,0,0,0,5,3.36,16.8,0.73,42.35,84,01/05/2021,9:40:00,3,170,2021,Female,32.148673,34.820411,185,1.1,98.9,56,0,2,54,49.49,CST,0,0,0,1,0,0,0,2.236067977,4.098780306,53,31,0,3.745968421,1,1,0,0,18.01665896,5,-8.108108108,-2.27907228,-0.345755589,186.6553207,15.91,171.0532392
106,33858,2,26,18.63,24.36,1,0,0,0,133,0,0,0,6,3,18,1.13,30.44,42,10/05/2021,8:24:00,1,174,2021,Female,32.148673,34.820411,185,0.1,99.9,38,0,0,38,152.86,CST,0,0,0,1,0,0,0,2.449489743,4.242640687,22,13,1,3.415757533,0,0,0,0,16.99882349,5,-5.945945946,-1.908283426,-0.359783988,186.6553207,15.91,175.0780213
107,33858,3,26,30.2,25,1,0,0,0,156,0,0,0,7,3.78,26.49,0.93,56.28,64,17/05/2021,11:02:00,6,173,2021,Female,32.148673,34.820411,185,0.1,99.9,39,0,0,39,78.26,CST,0,0,0,1,0,0,0,2.645751311,5.146843693,35,13,0,4.030339232,1,0,0,0,17.96106901,5,-6.486486486,-2.513084398,-0.640561515,186.6553207,15.91,174.0718258
108,33859,1,68.01,108.5,14.1,1,7,0,1,0,1,0,2,1,3,3,NA,11.38,100,01/05/2021,8:48:00,1,190,2021,Female,32.140829,34.821023,180,0.1,99.9,22,1,0,21,159.33,CST,1,0,1,0,1,0,1,1,1.732050808,159,11,1,2.431857429,1,0,0,1,16.22035758,5,5.555555556,2.877669086,-0.508053511,175.7535219,32.88,186.8807094
109,33859,2,68.01,113.97,12.82,1,3,0,0,0,0,0,6,2,3.38,6.75,1.59,11.33,100,10/05/2021,9:50:00,4,182,2021,Female,32.140829,34.821023,180,22.1,77.9,20,0,3,17,125.26,CST,1,0,0,0,0,0,1,1.414213562,2.598076211,160,11,1,2.427454075,1,1,0,0,16.9351705,5,1.111111111,1.71063387,0.01793358,175.7535219,32.88,179.0120479
110,33859,3,68.01,123.77,7.05,1,3,0,1,0,2,1,3,1,4,4,NA,6.41,100,17/05/2021,11:37:00,7,169,2021,Female,32.140829,34.821023,180,0,100,11,1,1,9,182.67,CST,1,0,1,0,1,1,1,1,2,173,5,1,1.857859271,1,0,0,1,18.08867049,5,-6.111111111,3.230489714,-1.330845397,175.7535219,32.88,166.2254731
111,33860,1,68.01,54.9,25,1,0,0,0,10,0,0,1,15,2.08,31.19,1.04,34.89,80,01/05/2021,9:15:00,2,163,2021,Male,32.140829,34.821023,182,0.2,99.8,39,0,1,38,168.25,CST,0,0,0,1,0,0,0,3.872983346,5.584800802,73,25,1,3.552200255,1,0,0,0,18.2428068,5,-10.43956044,-1.911397219,-0.301856084,182.7580499,32.88,163.4704339
112,33860,2,68.01,32.53,21.15,1,0,0,0,1,0,0,0,4,4.39,17.57,1.06,92.85,85,10/05/2021,9:22:00,3,166,2021,Male,32.140829,34.821023,182,0.1,99.9,33,0,1,32,90.22,CST,0,0,0,0,0,0,0,2,4.191658383,16,10,0,4.530985288,1,0,0,0,17.47283606,5,-8.791208791,-2.446765082,-1.082972055,182.7580499,32.88,166.4790922
113,33860,3,68.01,41.83,26.92,1,0,0,0,0,0,0,0,5,2.71,13.57,0.68,68.86,92,17/05/2021,8:50:00,2,163,2021,Male,32.140829,34.821023,182,0.2,99.8,42,0,2,40,83.14,CST,0,0,0,0,0,0,0,2.236067977,3.683748091,32,21,0,4.232075458,1,0,0,0,17.33205123,5,-10.43956044,-2.146274587,-0.759280868,182.7580499,32.88,163.4704339
114,33866,1,0.03,80.67,21.15,1,10,0,0,71,0,0,1,13,3,39.02,0.85,23.88,100,10/05/2021,8:52:00,2,190,2021,Male,32.362509,34.959884,211,5.2,94.8,33,0,2,31,24.89,CST,1,0,0,1,0,0,0,3.605551275,6.246599075,143,15,0,3.173041289,1,1,0,0,17.93320942,5,-9.952606635,-0.354478452,0.700249482,215.9747104,0,194.1111683
115,33866,2,0.03,84.87,22.44,1,0,0,0,1,0,0,0,3,4.08,12.23,0.5,15.47,92,17/05/2021,9:56:00,4,191,2021,Male,32.362509,34.959884,211,2.6,97.4,35,0,2,33,42.91,CST,0,0,0,0,0,0,0,1.732050808,3.49714169,139,10,0,2.738902665,1,1,0,0,16.92778781,5,-9.478672986,-0.17067355,-0.026917257,215.9747104,0,194.1111683
