Row_Number,Lapwing_ID,Test_Number,Fields,Urban,Water_Ponds,Experiment,Date,time,Trial_order,Weight,Year,Sex,Nest_X,Nest_Y,Initial_weight,TimeStandingSec,Head_bobbing,peck,Pose_fly,preening,Puff,Call,screening,Shake_wings,Shaking_head,Tail_wingle,Fly_Sequences,Mean_Time_Fly_sec,Total_Time_Fly_sec,SE_Time_Fly_sec,Number_Stops_Locations,Total_Time_Stoped,Walking_Meters,Percentage_In_Camera_View,area_explored,TimeInCenter,TimeInPeri,TotalUniqueLocationsVisited,NumberOfHighExploration,NumberOfMedianExploration,NumberOfLowExploration,PC1,PC2,SMI,Experiment_SMI,Spur_mm,Wing_mm,Tail_mm,Leg_mm,Time_to_emerge,Minimum_Disp_Threat
45,22729,3,16.43,0,83.44,CST,24/05/2022,11:29:00,6,180,2022,Female,32.524517,35.444488,189,47.5,0,NA,0,0,0,0,0,0,0,2,3,6.13,18.38,1.28,53,2,5.43,37,25,1.5,98.5,39,0,1,38,-0.132095839,0.805924099,187.1269059,178.7612203,7.6,208,95,76.1,NA,30.08
46,22737,1,18.79,0,67.14,LTE,24/05/2022,10:16:00,4,173,2022,Male,32.536023,35.415447,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.8080312,173.4992949,9.4,205,92,72.5,0,NA
47,22737,1,18.79,0,67.14,OFT,24/05/2022,10:16:00,4,173,2022,Male,32.536023,35.415447,194,215.37,2,0,0,0,8,0,0,0,4,28,1,7.84,7.84,NA,285,69,42.38,100,40.38,78.6,21.4,63,0,5,58,1.486091308,0.056327679,194.8080312,173.4992949,9.4,205,92,72.5,NA,NA
48,22737,1,18.79,0,67.14,CST,24/05/2022,10:16:00,4,173,2022,Male,32.536023,35.415447,194,100.6,2,NA,0,0,0,0,0,0,0,10,2,4.83,9.66,0.6,136,15,14.1,93,19.87,37.4,62.6,31,0,2,29,0.982599806,0.189554531,194.8080312,173.4992949,9.4,205,92,72.5,NA,99.76
49,22737,2,18.79,0,67.14,LTE,31/05/2022,09:35:00,4,173,2022,Male,32.536023,35.415447,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.8080312,173.4992949,9.4,205,92,72.5,135.24,NA
50,22737,2,18.79,0,67.14,OFT,31/05/2022,09:35:00,4,173,2022,Male,32.536023,35.415447,194,210.07,1,0,1,0,4,0,2,0,3,13,3,6.3,18.89,2.5,249,75,49.39,99,37.82,31.3,68.7,59,0,4,55,0.997490558,0.513519578,194.8080312,173.4992949,9.4,205,92,72.5,NA,NA
51,22737,2,18.79,0,67.14,CST,31/05/2022,09:35:00,4,173,2022,Male,32.536023,35.415447,194,79.07,1,NA,1,0,0,25,0,0,0,3,6,5.18,31.06,1.78,98,24,29.24,94,44.23,3,97,69,0,1,68,-1.652697673,1.345895953,194.8080312,173.4992949,9.4,205,92,72.5,NA,43.74
52,22737,3,18.79,0,67.14,LTE,07/06/2022,12:39:00,10,178,2022,Male,32.536023,35.415447,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.8080312,178.5137254,9.4,205,92,72.5,540.71,NA
53,22737,3,18.79,0,67.14,OFT,07/06/2022,12:39:00,10,178,2022,Male,32.536023,35.415447,194,258.67,0,0,0,0,2,0,1,0,0,10,0,0,0,NA,317,48,39.26,100,26.92,25.4,74.6,42,0,6,36,-0.040548375,-0.958922611,194.8080312,178.5137254,9.4,205,92,72.5,NA,NA
54,22737,3,18.79,0,67.14,CST,07/06/2022,12:39:00,10,178,2022,Male,32.536023,35.415447,194,107.77,0,NA,0,0,0,6,0,0,0,3,2,5.2,10.4,0.2,127,22,21.71,100,18.59,40.6,59.4,29,0,1,28,0.232168856,-0.083125767,194.8080312,178.5137254,9.4,205,92,72.5,NA,144.66
55,22738,1,30.94,0,59.01,LTE,24/05/2022,10:52:00,5,168,2022,Male,32.536876,35.415569,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.7497196,168.4848644,9.1,205,90,81.2,515.44,NA
56,22738,1,30.94,0,59.01,OFT,24/05/2022,10:52:00,5,168,2022,Male,32.536876,35.415569,180,137.53,2,0,0,0,2,1,0,0,0,5,6,5.38,32.27,0.83,146,60,83.89,88,62.82,23.5,76.5,98,0,1,97,0.892971216,2.513987775,180.7497196,168.4848644,9.1,205,90,81.2,NA,NA
57,22738,1,30.94,0,59.01,CST,24/05/2022,10:52:00,5,168,2022,Male,32.536876,35.415569,180,74.73,0,NA,0,0,0,7,0,0,0,2,3,4.92,14.75,1.11,100,16,27.8,87,31.41,2.2,97.8,49,1,0,48,-0.877149493,0.548622298,180.7497196,168.4848644,9.1,205,90,81.2,NA,137.34
58,22738,2,30.94,0,59.01,LTE,31/05/2022,09:05:00,3,170,2022,Male,32.536876,35.415569,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.7497196,170.4906366,9.1,205,90,81.2,193.12,NA
59,22738,2,30.94,0,59.01,OFT,31/05/2022,09:05:00,3,170,2022,Male,32.536876,35.415569,180,222.2,7,0,0,0,1,1,0,1,2,11,7,4.57,32.02,1.43,272,42,51.55,94,49.36,20.8,79.2,77,0,6,71,0.794791556,1.374675415,180.7497196,170.4906366,9.1,205,90,81.2,NA,NA
60,22738,2,30.94,0,59.01,CST,31/05/2022,09:05:00,3,170,2022,Male,32.536876,35.415569,180,55.87,3,NA,0,0,0,39,0,0,0,2,5,3.81,19.04,0.78,84,17,32.57,75,38.46,26.9,73.1,60,0,0,60,-1.038594186,0.894150234,180.7497196,170.4906366,9.1,205,90,81.2,NA,32.29
61,22738,3,30.94,0,59.01,LTE,07/06/2022,11:02:00,8,167,2022,Male,32.536876,35.415569,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.7497196,167.4819783,9.1,205,90,81.2,202.22,NA
62,22738,3,30.94,0,59.01,OFT,07/06/2022,11:02:00,8,167,2022,Male,32.536876,35.415569,180,212.83,2,0,1,0,1,24,0,0,1,7,4,6.55,26.21,2.86,254,59,83.8,100,35.26,4.2,95.8,55,2,3,50,-0.797942627,1.132813388,180.7497196,167.4819783,9.1,205,90,81.2,NA,NA
63,22738,3,30.94,0,59.01,CST,07/06/2022,11:02:00,8,167,2022,Male,32.536876,35.415569,180,60.17,0,NA,0,0,0,139,0,0,0,2,4,5.2,20.82,2.15,85,18,47.41,86,33.33,2.4,97.6,52,0,1,51,-1.653323343,0.572736033,180.7497196,167.4819783,9.1,205,90,81.2,NA,63.73
64,22739,1,30.94,0,59.01,LTE,24/05/2022,09:15:00,2,176,2022,Female,32.536876,35.415569,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.3950081,173.6654912,7.9,210,96,76.5,98.8,NA
65,22739,1,30.94,0,59.01,OFT,24/05/2022,09:15:00,2,176,2022,Female,32.536876,35.415569,189,337.77,2,0,1,0,3,0,2,0,1,5,3,4.97,14.92,2.1,384,18,13.41,100,37.18,68.6,31.4,58,3,2,53,1.562453778,-0.985432737,185.3950081,173.6654912,7.9,210,96,76.5,NA,NA
66,22739,1,30.94,0,59.01,CST,24/05/2022,09:15:00,2,176,2022,Female,32.536876,35.415569,189,88.67,11,NA,4,0,0,5,0,0,0,3,6,5.4,32.37,1.25,127,21,14.15,92,43.59,16.2,83.8,68,0,1,67,0.188783382,2.998283598,185.3950081,173.6654912,7.9,210,96,76.5,NA,42.79
67,22739,2,30.94,0,59.01,LTE,31/05/2022,08:40:00,2,176,2022,Female,32.536876,35.415569,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.3950081,173.6654912,7.9,210,96,76.5,2.95,NA
68,22739,2,30.94,0,59.01,OFT,31/05/2022,08:40:00,2,176,2022,Female,32.536876,35.415569,189,243.77,7,0,3,0,3,0,4,0,2,7,6,4.08,24.48,1.34,333,43,28.86,98,50.64,44.3,55.7,79,1,2,76,1.434734567,0.660649868,185.3950081,173.6654912,7.9,210,96,76.5,NA,NA
69,22739,2,30.94,0,59.01,CST,31/05/2022,08:40:00,2,176,2022,Female,32.536876,35.415569,189,92.97,6,NA,0,0,0,11,1,0,0,1,8,4.76,38.12,1.87,128,16,17.33,93,41.67,1.8,98.2,65,0,3,62,-0.071804885,2.670938047,185.3950081,173.6654912,7.9,210,96,76.5,NA,74.37
70,22739,3,30.94,0,59.01,LTE,07/06/2022,08:34:00,3,177,2022,Female,32.536876,35.415569,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.3950081,174.6522269,7.9,210,96,76.5,95.37,NA
71,22739,3,30.94,0,59.01,OFT,07/06/2022,08:34:00,3,177,2022,Female,32.536876,35.415569,189,225.8,2,0,0,0,1,0,0,0,1,3,13,4.88,63.44,1.6,280,50,33.23,91,65.38,39.1,60.9,102,0,3,99,1.57662027,2.09650491,185.3950081,174.6522269,7.9,210,96,76.5,NA,NA
72,22739,3,30.94,0,59.01,CST,07/06/2022,08:34:00,3,177,2022,Female,32.536876,35.415569,189,80.33,1,NA,0,0,0,6,0,0,0,0,9,4.52,40.64,1.92,101,17,20.95,85,48.08,6.2,93.8,75,0,2,73,-1.263342483,2.662803019,185.3950081,174.6522269,7.9,210,96,76.5,NA,38.35
73,22740,1,0,86.32,0,LTE,24/05/2022,12:13:00,7,150,2022,Female,32.504349,35.459827,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.9390365,152.9564269,6.8,200,95,75,2.92,NA
74,22740,1,0,86.32,0,OFT,24/05/2022,12:13:00,7,150,2022,Female,32.504349,35.459827,173,206.43,7,0,0,0,1,0,0,1,2,12,5,4.38,21.91,4.12,236,58,63.39,99,61.54,13.8,86.2,96,0,4,92,0.831995085,1.89267006,177.9390365,152.9564269,6.8,200,95,75,NA,NA
