,Lapwing_ID,Test_Number,TimeStandingSec,Fields.1,Urban,Bare_Ground,Clouds,Fields.2,Natural,Fields.3,Snow,mataim,WaterPonds,dirt.road,Main.roads,Experiment,Date,Time,Trial_order,Weight,Year,Sex,Nest_X,Nest_Y,Initial_weight,Head.bob,peck,Pose.fly,prening,Puff,Scream,scrining,Shake.wings,Shaking.head,Tail.wingle,Fly_Sequences,Mean_Time_Fly_sec,Total_Time_Fly_sec,SD_Time_Fly_sec,NumStopsLocations,TotalTimeStoped,WalkingMeters,PercentageInCameraView,area_explored,TimeInCenter,TimeInPeri,TotalLocationsVisited,NumberOfHighExploration,NumberOfMedianExploration,NumberOfLowExploration,HeadBobBi1,PoseflyBi0,PreningBi0,PffSqrt,ScreamBi0,scriningBi0,ShakeWingBi0,ShakeHeadBi1,TailWingeSqRt,Fly_SequencesSqrT,Total_Time_Fly_secSqrT,Mean_Time_Fly_secSqrT,NumStopsLocationsSame,TotalTimeStopedSqrT,WalkingMetersLog,ShowCameraBi50,area_exploredSame,TimeInCenterBi10,TimeInPeri90,TotalLocationsVisitedSame,NumberOfHighExplorationBi1,TimeToEmergeBinomial,PercentageInCameraViewBi98,PC1_Stress,PC2_Mobility,Initial SMI,Box_time.y,Urban250,Months,Experiment SMI
82,32438,2,269.83,0.01,11.62,3.21,0,0,0,75.78,0,0.13,9.25,0,0,OFT,22/07/2020,8:07:00,1,190,2020,Male,32.492261,34.936742,188,0,0,0,1,3,1,6,0,3,4,2,7.28,14.56,2.14,391,21,20.31,100,23.08,52.7,47.3,36,2,2,32,0,0,1,1.732050808,1,1,0,1,2,1.414213562,3.815756806,2.698147513,391,4.582575695,3.011113376,1,23.08,1,0,36,1,0,1,1.410153352,-1.909771466,186.1368165,35.19,1.76,7,188.6923992
83,32438,3,223.13,0.01,11.62,3.21,0,0,0,75.78,0,0.13,9.25,0,0,OFT,29/07/2020,12:00:00,7,181,2020,Male,32.492261,34.936742,188,2,0,2,0,1,0,2,0,0,3,6,3.33,19.96,0.92,282,41,48.86,100,38.46,9.2,90.8,60,1,3,56,1,1,0,1,0,1,0,0,1.732050808,2.449489743,4.467661581,1.824828759,282,6.403124237,3.888959066,1,38.46,0,1,60,0,0,1,-0.714956938,0.705744103,186.1368165,2.7,1.76,7,179.7543382
84,32441,1,143.07,77.23,22.77,0,0,0,0,0,0,0,0,0,0,OFT,22/07/2020,10:59:00,6,176,2020,Male,32.149282,34.821199,183,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,158,63,120.44,100,31.41,0,100,49,2,2,45,0,1,0,0,0,0,0,0,0,0,0,0,158,7.937253933,4.791151704,1,31.41,0,1,49,1,1,1,-2.828496328,0.74607516,184.6374254,600,8.04,7,177.0904123
85,32441,2,283.53,77.23,22.77,0,0,0,0,0,0,0,0,0,0,OFT,29/07/2020,9:56:00,3,186,2020,Male,32.149282,34.821199,183,5,0,4,0,1,0,0,0,0,0,6,4.64,27.86,0.8,358,26,33.21,100,58.97,20.6,79.4,92,1,5,86,1,1,0,1,0,0,0,0,0,2.449489743,5.278257288,2.154065923,358,5.099019514,3.502851035,1,58.97,1,0,92,0,0,1,1.361682452,1.138140403,184.6374254,98.03,8.04,7,187.1523676
86,32441,3,336.27,77.23,22.77,0,0,0,0,0,0,0,0,0,0,OFT,05/08/2020,8:56:00,1,189,2020,Male,32.149282,34.821199,183,4,0,1,2,3,0,0,0,2,6,4,5.29,21.16,1.54,396,12,13.4,100,26.92,71.8,28.2,42,2,2,38,1,1,1,1.732050808,0,0,0,1,2.449489743,2,4.6,2.3,396,3.464101615,2.595254707,1,26.92,1,0,42,1,0,1,2.040096501,-2.165354232,184.6374254,183.07,8.04,8,190.1709542
87,32442,1,141.43,77.23,22.77,0,0,0,0,0,0,0,0,0,0,OFT,22/07/2020,12:08:00,8,156,2020,Female,32.149282,34.821199,179,4,0,0,0,4,17,0,1,2,7,3,3.07,9.22,1.32,146,17,26.17,49,27.56,0.2,99.8,43,0,2,41,1,0,0,2,1,0,1,1,2.645751311,1.732050808,3.03644529,1.752141547,146,4.123105626,3.264613717,0,27.56,0,1,43,0,0,0,-0.874777476,-0.324049801,183.220252,84.92,8.04,7,158.541059
88,32442,2,306.47,77.23,22.77,0,0,0,0,0,0,0,0,0,0,OFT,29/07/2020,10:28:00,4,170,2020,Female,32.149282,34.821199,179,11,0,0,0,6,0,0,0,3,7,3,4.2,12.61,3.34,353,33,24.15,100,39.1,14.3,85.7,61,1,3,57,1,0,0,2.449489743,0,0,0,1,2.645751311,1.732050808,3.551056181,2.049390153,353,5.744562647,3.18428438,1,39.1,1,0,61,0,0,1,1.86373784,-0.542037951,183.220252,7.2,8.04,7,172.7691027
89,32442,3,274.07,77.23,22.77,0,0,0,0,0,0,0,0,0,0,OFT,05/08/2020,10:40:00,4,165,2020,Female,32.149282,34.821199,179,4,0,0,0,3,0,0,0,2,6,7,2.5,17.49,1.37,293,41,43.86,100,44.87,26,74,70,1,1,68,1,0,0,1.732050808,0,0,0,1,2.449489743,2.645751311,4.182104733,1.58113883,293,6.403124237,3.781002743,1,44.87,1,0,70,0,0,1,1.326676837,0.488113156,183.220252,36.05,8.04,8,167.6876585
90,32443,1,200.57,75.47,23.12,0,0,0,1.41,0,0,0,0,0,0,OFT,22/07/2020,11:38:00,7,188,2020,Male,32.150295,34.824524,202,0,0,0,0,3,1,0,0,2,8,2,1.98,3.96,1.03,227,52,82.02,100,42.31,6.7,93.3,66,1,2,63,0,0,0,1.732050808,1,0,0,1,2.828427125,1.414213562,1.989974874,1.407124728,227,7.211102551,4.40696312,1,42.31,0,1,66,0,0,1,-0.621835101,0.744739299,205.7678754,4.2,21.63,7,190.424548
91,32443,2,177.53,75.47,23.12,0,0,0,1.41,0,0,0,0,0,0,OFT,29/07/2020,11:28:00,6,195,2020,Male,32.150295,34.824524,202,1,0,3,0,3,0,0,0,3,12,2,5.38,10.76,0.28,177,71,97.06,100,37.82,37.5,62.5,59,0,1,58,0,1,0,1.732050808,0,0,0,1,3.464101615,1.414213562,3.280243893,2.319482701,177,8.426149773,4.575329344,1,37.82,1,0,59,0,0,1,0.396308518,0.984361938,205.7678754,2.8,21.63,7,197.5148237
